Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
H5HF_hdr_finish_init_phase2                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_hdr_finish_init_phase2               H5HFhdr.c             0x2f8f0a     
H5D__open_oid                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__open_oid                             H5Dint.c              0x1891e2     
H5CX_get_nlinks                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_nlinks                           H5CX.c                0x129fb1     
H5HF__cache_iblock_get_initial_load_size    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__cache_iblock_get_initial_load_size  H5HFcache.c           0x2e714e     
H5O_msg_copy                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_copy                              H5Omessage.c          0x3ef336     
H5G_iterate_cb                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_iterate_cb                            H5Gint.c              0x2b04a3     
func@0x4bf90                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x4bf90                              [Unknown]             0x4bf90      
H5O__attr_reset                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_reset                           H5Oattr.c             0x395ef1     
H5I_object_verify                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object_verify                         H5I.c                 0x33fcca     
H5O_pline_copy                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_pline_copy                            H5Opline.c            0x3fac91     
H5P__set_pclass_cb                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P__set_pclass_cb                        H5Pint.c              0x46ebc5     
H5O_msg_read_oh                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_read_oh                           H5Omessage.c          0x3ee1ca     
H5O_attr_shared_decode                      0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_shared_decode                    H5Oshared.h           0x3930d1     
H5P_copy_plist                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P_copy_plist                            H5Pint.c              0x46862f     
rehash                                      0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    rehash                                    [Unknown]             0x3a7e9      
func@0x4f270                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x4f270                              [Unknown]             0x4f270      
H5T_get_size                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_get_size                              H5T.c                 0x5585a2     
H5F__accum_read                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F__accum_read                           H5Faccum.c            0x207402     
H5Aiterate2                                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Aiterate2                               H5A.c                 0x6afa7      
